t[s],p1[mbar]
0,1000
5,1000
10,1000
15,1000
20,1000
25,800
30,288
35,107
40,46.3
45,31.7
50,20.1
55,14.4
60,9.28
65,6.92
70,4.75
75,3.69
80,2.23
85,1.63
90,1.28
95,0.881
100,0.651
105,0.507
110,0.388
115,0.32
120,0.255
125,0.214
130,0.185
135,0.159
140,0.137
145,0.124
150,0.119
155,0.104
160,0.0938
165,0.0877
170,0.0823
175,0.0784
180,7.52e-2
185,7.16e-2
190,6.82e-2
195,6.56e-2
200,6.23e-2
205,6.02e-2
210,5.88e-2
215,5.66e-2
220,5.54e-2
225,5.40e-2
230,5.38e-2
235,5.23e-2
240,5.03e-2
245,4.96e-2
250,4.98e-2
255,4.83e-2
260,4.69e-2
265,4.60e-2
270,4.54e-2
275,4.50e-2
280,4.42e-2
285,4.27e-2
290,4.22e-2
295,4.19e-2
310,3.98e-2
325,3.83e-2
340,3.70e-2
355,3.55e-2
370,3.48e-2
385,3.39e-2
400,3.33e-2

